;Human_presence;Agricultural_landuse;Resistance;Speed_of_Recovery;Amplification
Shorea_leprosula;-0.195410375092817;0.244337019774837;-0.446030911062848;0.0723562324118417;5.96171604033031
Shorea_leprosula_2;-0.195410375092817;0.244337019774837;-0.110316841294567;0.0500843044141339;1.72978646462673
Shorea_leprosula_3;-0.195410375092817;0.244337019774837;-0.106902831521135;0.0561267432568017;2.04647484496665
Shorea_leprosula_4;-0.195410375092817;0.244337019774837;-0.118346133935546;0.0683621588057258;2.52502774660182
Shorea_maxwelliana;-0.195410375092817;0.244337019774837;-0.0304338218886008;0.020870903190626;2.4900401832344
Shorea_maxwelliana_2;-0.195410375092817;0.244337019774837;-0.0266414596156536;0.0207241185922591;3.73621124995987
Shorea_maxwelliana_3;-0.195410375092817;0.244337019774837;-0.0285677409823222;0.0239364716491476;3.1627045586046
Shorea_ovalis;-0.195410375092817;0.244337019774837;-0.0327396052756946;0.0203327691916486;1.89458793543558
Shorea_ovalis_2;-0.195410375092817;0.244337019774837;-0.0486239962528596;0.0404822021474992;3.49268191517466
Shorea_ovalis_3;-0.195410375092817;0.244337019774837;-0.0788491902035912;0.0481433385152148;3.11839901812352
Scaphium_macropodum;-0.956489081852136;-0.486666532810638;-0.0314724846724099;0.0259832101468919;2.58014876185667
Scaphium_macropodum_2;-0.956489081852136;-0.486666532810638;-0.0315052934689364;0.0236726104984374;2.68747737007897
Scaphium_macropodum_3;-0.956489081852136;-0.486666532810638;-0.0322301767499113;0.0279437905700223;2.66579737115334
Scaphium_macropodum_4;-0.956489081852136;-0.486666532810638;-0.0295169702092395;0.025779779254018;2.37474763980165
Entandrophragma_cylindricum;0.342571957069591;0.47641590530771;-0.0115404551672897;0.0578067221035361;0.138220921093812
Geonoma_orbignyana;-0.29269752967546;0.130486178813072;-0.164825120753329;0.0626744544896915;3.35971644460776
Eremospatha_macrocarpa;-0.233490662184521;0.219562380785949;-0.100468800804245;0.0957838524401816;0.697690623816727
Laccosperma_secundiflorum;-0.233490662184521;0.219562380785949;-0.111724293837887;0.175808245023961;2.11577300864083
Eremospatha_macrocarpa_2;-0.237735417783868;0.216800786911496;-0.137314302971687;0.135032136639935;0.985321693397905
Hyparrhenia_diplandra;0.986036196225138;0.224650458408336;-1.56072321785064;0.296619761879793;3.49365333212786
Hyparrhenia_diplandra_2;0.986036196225138;0.224650458408336;-1.16863740152286;0.378478286541145;3.3606661254668
Hyparrhenia_diplandra_3;0.986036196225138;0.224650458408336;-1.88135426612703;0.255682772777106;3.62404661055096
Borassus_aethiopum;0.986036196225138;0.224650458408336;-2.08031062041452;0.0781382185051502;4.39659948308186
Borassus_aethiopum_2;0.986036196225138;0.224650458408336;-2.08338896570922;0.0808410572006494;4.37037921986858
Borassus_aethiopum_3;0.986036196225138;0.224650458408336;-2.07864780222503;0.0712977425746142;4.44751949262293
Prunus_africana;0.742912197709842;2.86795030288419;-2.3278045446126;0.00911278749585728;2.55614094560969
Euterpe_oleracea;-0.690816919712909;-0.312736014037991;-0.674700512237137;0.325240733214798;1.23858075262357
Euterpe_oleracea_2;0.506464783158867;-0.213687131341435;-0.186033058511929;0.30796302785455;1.73188607145592
Juniperus_procera;-0.0766829230669958;0.380543280139267;-0.192897101140553;0.0373332455455101;1.5002726497598
Vriesea_sanguinolenta;0.179894231821991;0.252153177611131;-0.668040650067317;0.263548313759263;2.47439229009392
Khaya_senegalensis;-0.337233892070812;0.0931046996048162;-0.148515002811375;0.119969933013343;1.89157540767177
Aspasia_principissa;1.38695200320485;0.653965772986064;-0.20328436929004;0.247333418159331;0.389084230751363
Vriesea_sanguinolenta_2;1.38695200320485;0.653965772986064;-0.432008930604729;0.172254678608899;3.3859085470527
Vriesea_sanguinolenta_3;1.38695200320485;0.653965772986064;-0.395415597289091;0.152200581046781;3.32490039673777
Khaya_senegalensis_2;1.47788083661611;1.27399947643093;-0.233626802968479;0.0317489589214626;0.534014166384394
Vriesea_sanguinolenta_4;11.6492601816427;-4.8113276176015;-0.495967516610185;0.20678725030309;1.85786962267255
Khaya_senegalensis_3;0.506324116444803;0.641914772302842;-0.328439351895199;0.210405822385489;2.20934359165128
Euterpe_precatoria;1.40230140170676;1.11893557751272;-0.259979807823819;0.172985510873436;0.611522778463433
Euterpe_precatoria_2;1.40230140170676;1.11893557751272;-0.155719990275436;0.141868988148087;1.42584312325133
Calathea_micans;1.25523544614123;0.903119609311013;-0.490427815598176;1.27731265228397;0.208500539678199
Calathea_micans_2;1.25523544614123;0.903119609311013;-0.546977050545831;0.308082991704615;0.316037608617957
Khaya_senegalensis_4;-0.465232603726501;0.00983006817475765;-1.06312766872392;6.10059401097207e-05;1.74774541454889
Avicennia_germinans;9.95753964809623;-5.5147385348013;-0.922757858385721;0.251384931286568;4.81809475970712
Rhizophora_mangle;9.95753964809623;-5.5147385348013;-1.28699509319278;0.15467255549472;4.5902916275965
Khaya_senegalensis_5;1.31412867724089;1.10850060943579;-0.803772734274632;0.000481047533589996;0.596680100347161
Khaya_senegalensis_6;1.31412867724089;1.10850060943579;-0.57053194504138;0.00415172819374554;2.69256783769902
Phyllanthus_emblica;0.923344674368823;3.04430121093485;-1.51261081335584;0.12318127734882;6.50695714483322
Phyllanthus_indofischeri;0.923344674368823;3.04430121093485;-0.539546649818701;0.128383375033058;6.13785923609014
Aquilaria_crassna;9.79364682200696;-4.82463549815216;-0.191383571560222;0.0505758373806438;2.55316178795339
Guarianthe_aurantiaca;0.883414908553264;0.0338729506468175;-0.141096780819138;0.325660887618496;0.244841064732704
Guarianthe_aurantiaca_2;0.883414908553264;0.0338729506468175;-0.161675209970897;0.329091505285445;0.221079236405127
Guarianthe_aurantiaca_3;0.883414908553264;0.0338729506468175;-0.172168657347062;0.220444615502661;0.276232152350482
Oncidium_poikilostalix;0.154022586054823;0.589601300590212;-0.331405743186219;0.924362754429452;0.3763788820838
Calamus_nambariensis;1.96942847045614;1.77052016418565;-0.405012891158081;0.0692103767154315;1.94993790879367
Calamus_rhabdocladus;1.96942847045614;1.77052016418565;-0.411963552673564;0.0776459034879259;1.58147977196645
Daemonorops_poilanei;1.96942847045614;1.77052016418565;-2.0101207849455;0.903923148039662;2.72711546247019
Dioon_merolae;-0.260998864322365;0.15110900102713;-0.635515361883867;0.0973438930877675;1.45088066112977
Dioon_merolae_2;0.583594053183066;2.70533615986388;-0.356077513606174;0.0140962196654787;1.48151153523765
Catopsis_compacta;-0.391160096293233;-0.0514993718182856;-0.236800825912522;0.307887982488926;1.88375608191505
Tillandsia_macdougallii;-0.23483811325777;-0.464929621368678;-0.423190916398637;0.0925817005865742;0.245690726191115
Tillandsia_violacea;-0.23483811325777;-0.464929621368678;-0.287216085140913;0.207785697792344;1.05089610628561
Bursera_glabrifolia;-0.0341714058161567;-0.908473068211125;-1.73477408543988;0.239338666093436;4.03870838068888
Mammillaria_dixanthocentron;1.97246033400485;1.0227596072899;-0.57709375622967;0.624161216767382;1.73301632248286
Mammillaria_hernandezii;0.0336713272314462;0.27544836613841;-0.534983092030527;0.125294869558776;2.11646300219752
Mammillaria_hernandezii_2;-0.303642964666469;0.0559951937545328;-0.456759669756935;0.206467460544563;3.23677876008177
Echeveria_longissima;-0.303642964666469;0.0559951937545328;-0.24766321292525;0.419405645924036;0.668489056893536
Mammillaria_huitzilopochtli;6.67131126389077;-0.814501052438136;-2.0796378787638;0.68298487863425;1.97538832645413
Mammillaria_huitzilopochtli_2;-0.144365386555093;0.0966079202923569;-1.68844489389545;0.206721306712996;0.397068558877434
Chamaedorea_elegans;-0.402335456074488;0.0504841547573775;-0.431840361209681;0.226985126182163;1.6475449770655
Mammillaria_solisioides;1.70678817186563;0.848829088517252;-1.29927092921997;0.102332835958523;6.28240987517994
Dioon_caputoi;-0.303642964666469;0.0559951937545328;-0.468266658675391;0.0512431764636113;0.683031169837851
Escontria_chiotilla;-0.359162534468028;0.0788381527797053;-3.28088492364123;0.0309160935045535;2.71713709007653
Escontria_chiotilla_2;1.32624009382848;3.12953054102131;-3.02068301621848;0.0319013315310205;3.24042695500231
Prosopis_laevigata;-0.139890805291257;0.221494060749665;-0.377942475795209;0.180016353728185;0.19829882946219
Lepanthes_rubripetala;3.93257893825721;0.472150398116729;-0.259351862114486;0.249075441389337;0.214330702699124
Lepanthes_rubripetala_2;3.93257893825721;0.472150398116729;-0.23001203396335;0.185539426791085;0.206460343282942
Lepanthes_rubripetala_3;3.93257893825721;0.472150398116729;-0.221959903969794;0.449044801193117;0.221270271557826
Lepanthes_rubripetala_4;3.93257893825721;0.472150398116729;-0.239919389892612;0.289357963869704;0.161320012697266
Lepanthes_rubripetala_5;3.93257893825721;0.472150398116729;-0.163880327343868;0.214564985055113;0.243318025423773
Lepanthes_rubripetala_6;3.93257893825721;0.472150398116729;-0.185793702658283;0.281659934841923;0.167532598320619
Lepanthes_rubripetala_7;3.93257893825721;0.472150398116729;-0.570855825813493;0.0971794820836986;0.252513935471471
Lepanthes_eltoroensis;2.91867714096251;1.41669067539795;-0.395587498816336;0.0339418515667714;0.0375270573499755
Lepanthes_eltoroensis_2;2.91867714096251;1.41669067539795;-0.390570542615793;0.0288807984785702;0.0354427847603923
Lepanthes_eltoroensis_3;2.91867714096251;1.41669067539795;-0.403613506494277;0.0418811911054926;0.0331583667805712
Lepanthes_eltoroensis_4;2.91867714096251;1.41669067539795;-0.39139840135741;0.0298797364065685;0.0454825574749252
Lepanthes_rubripetala_8;2.91867714096251;1.41669067539795;-0.365901315590973;0.169759320104056;0.206280575229237
Lepanthes_rubripetala_9;2.91867714096251;1.41669067539795;-0.367895896736541;0.171137891110556;0.0792363702953709
Lepanthes_rubripetala_10;2.91867714096251;1.41669067539795;-0.379815776286725;0.184063104616912;0.235933210674721
Lepanthes_rubripetala_11;2.91867714096251;1.41669067539795;-0.378628471804488;0.182994066103385;0.278466697463124
Lepanthes_rubripetala_12;2.91867714096251;1.41669067539795;-0.336919039664304;0.140631292078255;0.181478550133467
Lepanthes_rubripetala_13;2.91867714096251;1.41669067539795;-0.380848109364806;0.184420534352753;0.142752970490759
Lepanthes_rubripetala_14;2.91867714096251;1.41669067539795;-0.349863564482961;0.153352327668515;0.329713281811016
Syzygium_jambos;4.09629586513353;0.637646350392926;-0.646668627263938;0.197743920213442;7.55472231891581
Lepanthes_rupestris;3.12509890466541;0.00559140851423884;-0.287437406205776;0.249182815891075;0.426882929551399
Lepanthes_rupestris_2;3.12509890466541;0.00559140851423884;-0.267150144617686;0.220748366980706;0.366934236833522
Lepanthes_rupestris_3;3.12509890466541;0.00559140851423884;-0.275668268196778;0.250197659483043;0.587128078958625
Lepanthes_rupestris_4;3.12509890466541;0.00559140851423884;-0.294539207093998;0.253314204949278;0.641047332085704
Lepanthes_rupestris_5;3.12509890466541;0.00559140851423884;-0.255545459531037;0.904001759364529;0.312337576932684
Lepanthes_rupestris_6;3.12509890466541;0.00559140851423884;-0.62356841216868;1.12615501823976;0.555382267251199
Lepanthes_rupestris_7;3.12509890466541;0.00559140851423884;-0.366258040036816;1.22569147402055;0.611208874336074
Lepanthes_rupestris_8;3.12509890466541;0.00559140851423884;-0.160686196051928;0.647365240675348;0.213728807644282
Lepanthes_rupestris_9;3.12509890466541;0.00559140851423884;-0.15198990558034;0.526906496254112;0.146188110716405
Lepanthes_rupestris_10;3.12509890466541;0.00559140851423884;-0.155033885903072;0.365031196294962;0.0948422206038683
Lepanthes_rupestris_11;3.12509890466541;0.00559140851423884;-0.555997769786777;0.807143897586279;0.292032931516059
Acacia_bilimekii;3.44117830973977;-0.0243581281617828;-0.347893899139407;0.296919666740629;3.55355286957407
Neobuxbaumia_macrocephala;3.44117830973977;-0.0243581281617828;-2.69505799684781;0.0617459973904249;6.16453067254997
Neobuxbaumia_macrocephala_2;3.44117830973977;-0.0243581281617828;-3.03991496401212;0.0549456000315579;5.7375398150536
Neobuxbaumia_mezcalaensis;3.44117830973977;-0.0243581281617828;-2.75394227536953;0.0530823868448488;7.56600976635289
Neobuxbaumia_mezcalaensis_2;3.44117830973977;-0.0243581281617828;-2.75753104294258;0.0524709789089196;7.56722649532881
Neobuxbaumia_tetetzo;3.44117830973977;-0.0243581281617828;-2.96130384232837;0.0506729117869235;5.89674571411891
Neobuxbaumia_tetetzo_2;3.44117830973977;-0.0243581281617828;-0.260899564212467;0.0642635290693618;4.20305663416649
